topic,termWordsStr,termWeightsStr
0,"licht,feesten,,halfgeslotene,herhaalde,gaat,dood!\",knieën,zak;,lache,,god!\"","1.968452135344069E-4,1.9679766997600175E-4,1.9488051238072937E-4,1.9412142467396958E-4,1.937964607879265E-4,1.9329971404818613E-4,1.915028597212574E-4,1.898062751386506E-4,1.8840721284144944E-4,1.8780019186088074E-4"
1,"gedacht,,karel!\",deur,verdient,,wandelende,niet:,opklimmen,op,,zaten,dreven","2.097927814367319E-4,1.986233757547293E-4,1.9264152670972918E-4,1.9009222246080815E-4,1.8972413806710105E-4,1.891640644341998E-4,1.8898209533864025E-4,1.8884260540070618E-4,1.8769514871375562E-4,1.8725372139017448E-4"
2,"opgestaan,,streek,,hongersnood?,kruiden,boomen,,persoon,,—,schreeuwden,,gereedgemaakt,uitnoodiging","2.033740204041856E-4,1.9691393481756827E-4,1.95926353359595E-4,1.9536831176316142E-4,1.916685568499099E-4,1.910886687649198E-4,1.909983037511899E-4,1.9074577345530905E-4,1.8990804891250648E-4,1.898179365622559E-4"
3,"des,vermoorden?,beste,,ijdele,onhandig,verwijderde;,beminnend;,zegt;,wierd.,zich,","1.9863990561150708E-4,1.937835912416508E-4,1.934034264950433E-4,1.9153641347078402E-4,1.9126535695177514E-4,1.8970020772460816E-4,1.882405801464265E-4,1.8821595669530586E-4,1.8771767946815387E-4,1.8757914712019393E-4"
4,"geld.,ginder?\",jongs,neer,meisje,dertigduizend.,zwaarste,jaren,,rechtuit:,goedheid,","2.0223251523706192E-4,1.994998677359097E-4,1.948870797759567E-4,1.8891366038667075E-4,1.889014937553349E-4,1.883897337938962E-4,1.8773194948455463E-4,1.875715831658213E-4,1.8732164526535835E-4,1.8725032722015697E-4"
5,"langs,huilde,scherp.,laffe,goud,,blik;,stuursch,1830,,slacht,goedkeuring","2.0326902486503354E-4,1.976478457379646E-4,1.9651994177196996E-4,1.9270900226001067E-4,1.885680640426268E-4,1.875491830567153E-4,1.8754018840781982E-4,1.8614411876188182E-4,1.861406896777858E-4,1.858414590079996E-4"
6,"lisa;,schuimer,,plichten,,toegeloopen,groeien,aanbood.,lompaards.,officieren,lachen.,god.","2.0489474941138268E-4,2.0438480073348836E-4,2.042705743065668E-4,2.0299220656435323E-4,2.0168218783929141E-4,1.947921277272164E-4,1.9394798402069615E-4,1.9106138251151768E-4,1.9075485934580535E-4,1.9028411813768937E-4"
7,"kerkhof!,beven?,zulken,gloeien,,droomde,schoenen,twijgen,gal,nergens,klaar","1.9835891514559297E-4,1.9750854134306428E-4,1.952652791847077E-4,1.9267394158839244E-4,1.9115713209778666E-4,1.8915160061204033E-4,1.8804064471701444E-4,1.8803831517276282E-4,1.879252582382114E-4,1.873746628701671E-4"
8,"zulks,bemerkte,,glazen,weet,misdaan?,dreigend,,vuur,,maken,,onstuimig,jok","1.9979905233901774E-4,1.939091934892466E-4,1.924538731060644E-4,1.8999538684306752E-4,1.8906602117942233E-4,1.8875158900377476E-4,1.8848543762130826E-4,1.8805610190632388E-4,1.8708351697521556E-4,1.8705094459710948E-4"
9,"weken,belooft,heengewandeld.,zonne,boeren.,wijsheid.,leiden?,begeleiding,\"maar,,interest","1.9131634585757361E-4,1.9098263408579938E-4,1.908755267681422E-4,1.9002579556674868E-4,1.899777999018562E-4,1.8982194746000865E-4,1.893592042309856E-4,1.8914703289770596E-4,1.8847714263461657E-4,1.8825112381218586E-4"
